Region,Position,X1,Y1,X2,Y2,Age_Years
1,Left Upper,0,0,2000,2000,3.21 Ga
2,Right Upper,2000,0,4000,2000,3.41 Ga
3,Left Lower,0,2000,2000,4000,3.20 Ga
4,Right Lower,2000,2000,4000,4000,3.38 Ga
5,Whole Surface,0,0,4000,4000,3.32 Ga
